{ 10, 40 } | Support: 2
{ 10, 41 } | Support: 3
{ 10, 42 } | Support: 2
{ 10, 43 } | Support: 3
{ 10, 47 } | Support: 3
{ 10, 48 } | Support: 4
{ 10, 50 } | Support: 2
{ 10, 51 } | Support: 2
{ 10, 53 } | Support: 2
{ 10, 57 } | Support: 3
{ 10, 60 } | Support: 2
{ 10, 61 } | Support: 6
{ 10, 62 } | Support: 3
{ 10, 63 } | Support: 6
{ 10, 69 } | Support: 5
{ 10, 71 } | Support: 4
{ 10, 72 } | Support: 2
{ 10, 73 } | Support: 2
{ 10, 80 } | Support: 4
{ 10, 85 } | Support: 3
{ 10, 86 } | Support: 5
{ 10, 87 } | Support: 9
{ 10, 90 } | Support: 2
{ 10, 93 } | Support: 4
{ 10, 95 } | Support: 3
{ 11, 12 } | Support: 6
{ 11, 13 } | Support: 4
{ 11, 14 } | Support: 8
{ 11, 15 } | Support: 4
{ 11, 16 } | Support: 2
{ 11, 17 } | Support: 5
{ 11, 18 } | Support: 3
{ 11, 19 } | Support: 2
{ 11, 20 } | Support: 3
{ 11, 21 } | Support: 4
{ 11, 23 } | Support: 8
{ 11, 24 } | Support: 3
{ 11, 25 } | Support: 2
{ 11, 26 } | Support: 5
{ 11, 28 } | Support: 10
{ 11, 29 } | Support: 8
{ 11, 31 } | Support: 2
{ 11, 33 } | Support: 3
{ 11, 34 } | Support: 3
{ 11, 35 } | Support: 5
{ 11, 36 } | Support: 11
{ 11, 38 } | Support: 26
{ 11, 39 } | Support: 5
{ 11, 40 } | Support: 10
{ 11, 42 } | Support: 3
{ 11, 43 } | Support: 7
{ 11, 46 } | Support: 5
{ 11, 47 } | Support: 8
{ 11, 48 } | Support: 9
{ 11, 50 } | Support: 4
{ 11, 51 } | Support: 9
{ 11, 52 } | Support: 8
{ 11, 55 } | Support: 2
{ 11, 57 } | Support: 2
{ 11, 59 } | Support: 2
{ 11, 60 } | Support: 2
{ 11, 61 } | Support: 11
{ 11, 62 } | Support: 6
{ 11, 63 } | Support: 20
{ 11, 66 } | Support: 8
{ 11, 67 } | Support: 8
{ 11, 68 } | Support: 3
{ 11, 69 } | Support: 14
{ 11, 71 } | Support: 8
{ 11, 72 } | Support: 12
{ 11, 73 } | Support: 8
{ 11, 74 } | Support: 7
{ 11, 76 } | Support: 4
{ 11, 77 } | Support: 2
{ 11, 78 } | Support: 7
{ 11, 80 } | Support: 10
{ 11, 81 } | Support: 10
{ 11, 83 } | Support: 8
{ 11, 85 } | Support: 13
{ 11, 86 } | Support: 8
{ 11, 87 } | Support: 12
{ 11, 88 } | Support: 2
{ 11, 89 } | Support: 5
{ 11, 90 } | Support: 2
{ 11, 91 } | Support: 2
{ 11, 93 } | Support: 5
{ 11, 95 } | Support: 3
{ 11, 97 } | Support: 3
{ 12, 14 } | Support: 4
{ 12, 17 } | Support: 5
{ 12, 21 } | Support: 3
{ 12, 23 } | Support: 3
{ 12, 28 } | Support: 2
{ 12, 36 } | Support: 7
{ 12, 38 } | Support: 7
{ 12, 39 } | Support: 2
{ 12, 40 } | Support: 2
{ 12, 41 } | Support: 2
{ 12, 43 } | Support: 3
{ 12, 45 } | Support: 2
{ 12, 47 } | Support: 5
{ 12, 48 } | Support: 5
{ 12, 50 } | Support: 2
{ 12, 51 } | Support: 6
{ 12, 52 } | Support: 2
{ 12, 53 } | Support: 2
{ 12, 55 } | Support: 2
{ 12, 61 } | Support: 2
{ 12, 62 } | Support: 2
{ 12, 63 } | Support: 12
{ 12, 66 } | Support: 5
{ 12, 67 } | Support: 4
{ 12, 69 } | Support: 6
{ 12, 70 } | Support: 3
{ 12, 72 } | Support: 2
{ 12, 73 } | Support: 6
{ 12, 76 } | Support: 2
{ 12, 80 } | Support: 2
{ 12, 83 } | Support: 4
{ 12, 85 } | Support: 2
{ 12, 86 } | Support: 3
{ 12, 87 } | Support: 6
{ 12, 89 } | Support: 2
{ 12, 91 } | Support: 2
{ 12, 93 } | Support: 5
{ 13, 14 } | Support: 3
{ 13, 15 } | Support: 2
{ 13, 17 } | Support: 4
{ 13, 19 } | Support: 2
{ 13, 24 } | Support: 2
{ 13, 25 } | Support: 2
{ 13, 26 } | Support: 2
{ 13, 28 } | Support: 7
{ 13, 29 } | Support: 3
{ 13, 34 } | Support: 5
{ 13, 35 } | Support: 4
{ 13, 36 } | Support: 3
{ 13, 38 } | Support: 7
{ 13, 40 } | Support: 5
{ 13, 45 } | Support: 2
{ 13, 47 } | Support: 3
{ 13, 48 } | Support: 3
{ 13, 49 } | Support: 2
{ 13, 51 } | Support: 8
{ 13, 57 } | Support: 3
{ 13, 61 } | Support: 4
{ 13, 62 } | Support: 4
{ 13, 63 } | Support: 10
{ 13, 66 } | Support: 3
{ 13, 69 } | Support: 6
{ 13, 70 } | Support: 2
{ 13, 71 } | Support: 4
{ 13, 72 } | Support: 6
{ 13, 73 } | Support: 3
{ 13, 74 } | Support: 3
{ 13, 78 } | Support: 4
{ 13, 81 } | Support: 3
{ 13, 83 } | Support: 3
{ 13, 85 } | Support: 6
{ 13, 86 } | Support: 2
{ 13, 87 } | Support: 4
{ 13, 89 } | Support: 5
{ 13, 93 } | Support: 2
{ 13, 95 } | Support: 5
{ 13, 96 } | Support: 2
{ 13, 97 } | Support: 2
{ 14, 17 } | Support: 8
{ 14, 18 } | Support: 2
{ 14, 19 } | Support: 3
{ 14, 21 } | Support: 3
{ 14, 22 } | Support: 2
{ 14, 23 } | Support: 6
{ 14, 25 } | Support: 3
{ 14, 26 } | Support: 3
{ 14, 28 } | Support: 12
{ 14, 29 } | Support: 6
{ 14, 31 } | Support: 2
{ 14, 34 } | Support: 4
{ 14, 35 } | Support: 5
{ 14, 36 } | Support: 14
{ 14, 38 } | Support: 11
{ 14, 39 } | Support: 5
{ 14, 40 } | Support: 8
{ 14, 41 } | Support: 2
{ 14, 42 } | Support: 5
{ 14, 43 } | Support: 10
{ 14, 45 } | Support: 2
{ 14, 46 } | Support: 4
{ 14, 47 } | Support: 8
{ 14, 48 } | Support: 11
{ 14, 49 } | Support: 6
{ 14, 50 } | Support: 3
{ 14, 51 } | Support: 10
{ 14, 52 } | Support: 6
{ 14, 53 } | Support: 2
{ 14, 59 } | Support: 3
{ 14, 60 } | Support: 2
{ 14, 61 } | Support: 3
{ 14, 62 } | Support: 6
{ 14, 63 } | Support: 14
{ 14, 66 } | Support: 3
{ 14, 67 } | Support: 6
{ 14, 68 } | Support: 5
{ 14, 69 } | Support: 8
{ 14, 71 } | Support: 5
{ 14, 72 } | Support: 5
{ 14, 73 } | Support: 9
{ 14, 74 } | Support: 7
{ 14, 76 } | Support: 2
{ 14, 77 } | Support: 2
{ 14, 78 } | Support: 6
{ 14, 80 } | Support: 3
{ 14, 81 } | Support: 10
{ 14, 83 } | Support: 9
{ 14, 85 } | Support: 13
{ 14, 86 } | Support: 10
{ 14, 87 } | Support: 14
{ 14, 90 } | Support: 4
{ 14, 93 } | Support: 5
{ 14, 95 } | Support: 9
{ 14, 97 } | Support: 4
{ 14, 98 } | Support: 2
{ 15, 17 } | Support: 5
{ 15, 18 } | Support: 2
{ 15, 21 } | Support: 3
{ 15, 23 } | Support: 7
{ 15, 26 } | Support: 2
{ 15, 29 } | Support: 2
{ 15, 33 } | Support: 4
{ 15, 35 } | Support: 4
{ 15, 36 } | Support: 6
{ 15, 43 } | Support: 4
{ 15, 46 } | Support: 2
{ 15, 48 } | Support: 2
{ 15, 50 } | Support: 5
{ 15, 51 } | Support: 3
{ 15, 60 } | Support: 3
{ 15, 61 } | Support: 2
{ 15, 62 } | Support: 4
{ 15, 63 } | Support: 4
{ 15, 66 } | Support: 3
{ 15, 69 } | Support: 5
{ 15, 71 } | Support: 2
{ 15, 72 } | Support: 2
{ 15, 73 } | Support: 2
{ 15, 78 } | Support: 3
{ 15, 81 } | Support: 2
{ 15, 85 } | Support: 4
{ 15, 86 } | Support: 2
{ 15, 87 } | Support: 3
{ 15, 89 } | Support: 2
{ 15, 93 } | Support: 2
{ 16, 18 } | Support: 2
{ 16, 28 } | Support: 3
{ 16, 34 } | Support: 2
{ 16, 36 } | Support: 2
{ 16, 38 } | Support: 4
{ 16, 39 } | Support: 2
{ 16, 61 } | Support: 2
{ 16, 63 } | Support: 2
{ 16, 73 } | Support: 2
{ 16, 78 } | Support: 2
{ 16, 86 } | Support: 2
{ 16, 90 } | Support: 2
{ 17, 18 } | Support: 2
{ 17, 19 } | Support: 4
{ 17, 20 } | Support: 2
{ 17, 21 } | Support: 7
{ 17, 23 } | Support: 9
{ 17, 25 } | Support: 5
{ 17, 26 } | Support: 4
{ 17, 27 } | Support: 2
{ 17, 28 } | Support: 10
{ 17, 31 } | Support: 2
{ 17, 32 } | Support: 4
{ 17, 33 } | Support: 7
{ 17, 34 } | Support: 3
{ 17, 35 } | Support: 12
{ 17, 36 } | Support: 18
{ 17, 38 } | Support: 23
{ 17, 39 } | Support: 3
{ 17, 40 } | Support: 10
{ 17, 41 } | Support: 5
{ 17, 42 } | Support: 5
{ 17, 43 } | Support: 9
{ 17, 45 } | Support: 6
{ 17, 46 } | Support: 3
{ 17, 47 } | Support: 8
{ 17, 48 } | Support: 8
{ 17, 49 } | Support: 6
{ 17, 50 } | Support: 3
{ 17, 51 } | Support: 8
{ 17, 52 } | Support: 9
{ 17, 53 } | Support: 2
{ 17, 55 } | Support: 2
{ 17, 59 } | Support: 2
{ 17, 60 } | Support: 4
{ 17, 61 } | Support: 8
{ 17, 62 } | Support: 3
{ 17, 63 } | Support: 19
{ 17, 66 } | Support: 7
{ 17, 67 } | Support: 6
{ 17, 68 } | Support: 2
{ 17, 69 } | Support: 14
{ 17, 70 } | Support: 2
{ 17, 71 } | Support: 6
{ 17, 72 } | Support: 7
{ 17, 73 } | Support: 4
{ 17, 74 } | Support: 10
{ 17, 76 } | Support: 2
{ 17, 78 } | Support: 6
{ 17, 80 } | Support: 4
{ 17, 81 } | Support: 9
{ 17, 83 } | Support: 13
{ 17, 85 } | Support: 13
{ 17, 86 } | Support: 10
{ 17, 87 } | Support: 18
{ 17, 89 } | Support: 7
{ 17, 90 } | Support: 3
{ 17, 91 } | Support: 3
{ 17, 93 } | Support: 4
{ 17, 94 } | Support: 4
{ 17, 95 } | Support: 5
{ 17, 97 } | Support: 5
{ 18, 19 } | Support: 3
{ 18, 21 } | Support: 2
{ 18, 23 } | Support: 3
{ 18, 25 } | Support: 4
{ 18, 28 } | Support: 3
{ 18, 29 } | Support: 3
{ 18, 33 } | Support: 5
{ 18, 34 } | Support: 2
{ 18, 35 } | Support: 2
{ 18, 36 } | Support: 2
{ 18, 38 } | Support: 4
{ 18, 41 } | Support: 3
{ 18, 42 } | Support: 2
{ 18, 43 } | Support: 3
{ 18, 50 } | Support: 2
{ 18, 51 } | Support: 3
{ 18, 57 } | Support: 3
{ 18, 60 } | Support: 2
{ 18, 61 } | Support: 2
{ 18, 62 } | Support: 2
{ 18, 63 } | Support: 3
{ 18, 66 } | Support: 2
{ 18, 68 } | Support: 3
{ 18, 69 } | Support: 4
{ 18, 72 } | Support: 2
{ 18, 73 } | Support: 2
{ 18, 75 } | Support: 3
{ 18, 78 } | Support: 3
{ 18, 80 } | Support: 2
{ 18, 81 } | Support: 3
{ 18, 85 } | Support: 3
{ 18, 86 } | Support: 4
